rawAccX;rawAccY;rawAccZ;rawMagX;rawMagY;rawMagZ;accX;accY;accZ;magX;magY;magZ;accNorm;magNorm
-104;8;968;210;74;-338;-0.016023;0.001233;0.149137;0.077826;0.027425;-0.125263;9.547791;404.746834
-100;-140;1012;205;131;-342;-0.014612;-0.020457;0.147878;0.073266;0.046819;-0.122230;10.066727;419.702275
-104;-236;960;206;163;-342;-0.015694;-0.035612;0.144864;0.071654;0.056697;-0.118959;9.748186;431.241232
-88;-288;932;199;206;-336;-0.013477;-0.044107;0.142734;0.067609;0.069987;-0.114153;9.605072;441.512174
-20;-492;864;174;274;-338;-0.003017;-0.074211;0.130321;0.055697;0.087706;-0.108192;9.752368;468.610713
84;-728;660;163;297;-331;0.012776;-0.110725;0.100383;0.051621;0.094058;-0.104825;9.671565;473.644381
16;-656;752;152;367;-303;0.002405;-0.098593;0.113021;0.045636;0.110188;-0.090972;9.787489;499.601841
36;-768;632;145;434;-257;0.005426;-0.115749;0.095251;0.041443;0.124044;-0.073455;9.760174;524.814253
40;-836;584;143;461;-243;0.005879;-0.122873;0.085835;0.039694;0.127964;-0.067452;10.008320;540.387824
52;-824;588;148;415;-277;0.007695;-0.121939;0.087015;0.042656;0.119610;-0.079836;9.940210;520.440198
0;-504;816;158;286;-340;0.000000;-0.078824;0.127620;0.050260;0.090976;-0.108154;9.405554;471.550634
12;-176;976;155;89;-368;0.001815;-0.026618;0.147608;0.056831;0.032632;-0.134927;9.726378;409.108787
-4;256;952;149;-102;-317;-0.000609;0.038952;0.144853;0.061263;-0.041938;-0.130338;9.667666;364.820504
16;508;852;140;-220;-241;0.002419;0.076808;0.128820;0.059142;-0.092937;-0.101808;9.728989;355.078864
-4;576;780;136;-251;-209;-0.000619;0.089106;0.120664;0.057659;-0.106415;-0.088608;9.508871;353.805031
-36;504;848;148;-209;-244;-0.005470;0.076586;0.128859;0.062761;-0.088628;-0.103470;9.680391;353.724469
-56;16;1016;175;-7;-340;-0.008254;0.002358;0.149754;0.068635;-0.002745;-0.133348;9.979914;382.457841
-68;-44;996;189;74;-350;-0.010207;-0.006605;0.149506;0.070070;0.027435;-0.129759;9.799665;404.594859
-64;16;988;187;65;-347;-0.009695;0.002424;0.149667;0.070212;0.024405;-0.130287;9.710545;399.503442
-56;288;688;178;-55;-324;-0.011231;0.057758;0.137978;0.071439;-0.022074;-0.130035;7.334850;373.744565
